City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,pangnirtung,66.1451,-65.7125,-27.29,81,1,6.17,CA,1675854763
332,araouane,18.9048,-3.5265,78.33,13,62,17.81,ML,1675854764
333,mandan,46.8267,-100.8896,26.83,88,82,5.3,US,1675854764
334,te anau,-45.4167,167.7167,45.05,83,84,3.18,NZ,1675854765
335,espoo,60.25,24.6667,35.67,94,100,8.16,FI,1675854765
336,charters towers,-20.1,146.2667,80.22,70,100,13.78,AU,1675854766
337,krasnosilka,46.6226,30.7742,33.08,42,30,19.48,UA,1675854766
338,seymchan,62.8833,152.4333,-29.11,99,100,2.21,RU,1675854766
339,torbay,47.6666,-52.7314,29.46,97,100,23.02,CA,1675854767
340,ingenbohl,47.0046,8.6148,37.72,66,100,1.14,CH,1675854767
341,talakan,50.3167,130.3667,-20.61,99,20,3.33,RU,1675854768
342,kamenka,51.3223,42.7678,17.51,87,19,7.76,RU,1675854768
343,lyubokhna,53.5033,34.3885,25.03,74,34,6.53,RU,1675854769
344,olafsvik,64.8945,-23.7142,26.51,72,100,22.35,IS,1675854769
345,uglekamensk,43.2172,133.2303,10.0,93,38,2.82,RU,1675854769
346,ahipara,-35.1667,173.1667,63.55,87,27,7.45,NZ,1675854770
347,abashiri,44.0213,144.2697,19.09,94,100,3.8,JP,1675854770
348,wajima,37.4,136.9,39.47,60,100,12.57,JP,1675854771
349,cascais,38.6979,-9.4215,50.76,87,87,17.36,PT,1675854771
350,pasighat,28.0667,95.3333,67.69,55,56,1.83,IN,1675854772
351,luorong,24.4058,109.6086,58.14,91,96,4.03,CN,1675854772
352,bosaso,11.2842,49.1816,81.54,62,25,9.8,SO,1675854773
353,faya,18.3851,42.4509,66.22,44,75,9.8,SA,1675854773
354,pasni,25.2631,63.471,73.81,59,100,11.86,PK,1675854774
355,severo-kurilsk,50.6789,156.125,23.14,80,84,17.94,RU,1675854774
356,atambua,-9.1061,124.8925,74.12,92,100,1.23,ID,1675854775
357,provideniya,64.3833,-173.3,-17.72,99,96,3.56,RU,1675854775
358,balotra,25.8333,72.2333,86.07,10,2,7.34,IN,1675854776
359,harqalah,36.0303,10.509,55.0,78,95,23.42,TN,1675854776
360,eyemouth,55.8713,-2.0901,45.66,80,100,21.63,GB,1675854776
361,lewes,50.8736,0.0113,43.09,62,4,6.64,GB,1675854777
362,kankon,15.0167,74.0167,83.91,54,60,10.94,IN,1675854777
363,taunggyi,20.7833,97.0333,65.88,25,0,6.2,MM,1675854778
364,tanout,14.9709,8.8879,84.45,11,58,19.62,NE,1675854778
365,havoysund,70.9963,24.6622,37.44,66,100,33.15,NO,1675854778
366,emerald,-23.5333,148.1667,78.35,66,54,20.42,AU,1675854779
367,arica,-18.475,-70.3042,71.92,83,91,2.51,CL,1675854779
